"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1306","FDE29",8.905,"Low Fat",0.143129124,"Frozen Foods",58.8878,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1151.1682
"1308","FDB37",20.25,"Regular",0.022921735,"Baking Goods",240.7538,"OUT013",1987,"High","Tier 3","Supermarket Type1",3364.9532
"1309","FDD21",10.3,"Regular",0.030616757,"Fruits and Vegetables",112.7176,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",343.5528
"1310","FDX16",17.85,"Low Fat",0.06575528,"Frozen Foods",151.505,"OUT013",1987,"High","Tier 3","Supermarket Type1",2546.685
"1311","FDN46",7.21,"Regular",0.144856342,"Snack Foods",100.5332,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1127.8652
"1315","FDV40",17.35,"Low Fat",0.014689006,"Frozen Foods",74.5038,"OUT035",2004,"Small","Tier 2","Supermarket Type1",739.038
"1316","FDZ57",10,"Regular",0.037918142,"Snack Foods",129.6994,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1413.4934
"1317","FDY46",18.6,"Low Fat",0.047964395,"Snack Foods",185.0898,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2993.4368
"1318","FDX45",16.75,"Low Fat",0.105018817,"Snack Foods",155.263,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1721.093
"1319","FDB33",17.75,"Low Fat",0.014577412,"Fruits and Vegetables",160.7262,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2864.2716
"1321","FDM39",6.42,"Low Fat",0.053553794,"Dairy",178.6002,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3582.004
"1323","NCL31",7.39,"Low Fat",0.120280989,"Others",142.747,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3149.234
"1324","NCJ31",19.2,"Low Fat",0.182653772,"Others",243.0196,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3374.2744
"1326","FDN56",5.46,"Regular",0.107036943,"Fruits and Vegetables",144.2786,"OUT035",2004,"Small","Tier 2","Supermarket Type1",288.9572
"1327","FDF04",17.5,"Low Fat",0,"Frozen Foods",258.3304,"OUT013",1987,"High","Tier 3","Supermarket Type1",3358.2952
"1328","FDJ44",12.3,"Regular",0.106238768,"Fruits and Vegetables",176.1396,"OUT013",1987,"High","Tier 3","Supermarket Type1",3663.2316
"1331","FDA49",19.7,"Low Fat",0.064921764,"Canned",88.1198,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1744.396
"1333","NCM43",14.5,"Low Fat",0.019554705,"Others",162.421,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1957.452
"1334","FDH19",19.35,"Low Fat",0.033060937,"Meat",172.4738,"OUT013",1987,"High","Tier 3","Supermarket Type1",1911.5118
"1335","FDS15",9.195,"Regular",0.078181964,"Meat",106.7596,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4098.6648
"1336","FDO50",16.25,"Low Fat",0,"Canned",90.2804,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1653.8472
"1337","FDJ20",20.7,"Regular",0.100583009,"Fruits and Vegetables",123.5388,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1981.4208
"1340","DRK13",11.8,"Low Fat",0.115167579,"Soft Drinks",199.8084,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2380.9008
"1344","FDQ45",9.5,"Regular",0.010917052,"Snack Foods",185.3608,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2021.3688
"1345","FDQ10",12.85,"Low Fat",0.033172957,"Snack Foods",172.0422,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5345.7082
"1346","FDM36",11.65,"Regular",0.058719726,"Baking Goods",171.1422,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2931.5174
"1347","FDN12",15.6,"Low Fat",0,"Baking Goods",111.8544,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1454.1072
"1348","FDD50",18.85,"Low Fat",0.141524348,"Canned",168.4132,"OUT013",1987,"High","Tier 3","Supermarket Type1",2874.9244
"1349","FDG17",6.865,"Regular",0.035895934,"Frozen Foods",244.4486,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6353.0636
"1350","FDY58",11.65,"Low Fat",0.039980644,"Snack Foods",227.3694,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4567.388
"1353","FDL46",20.35,"Low Fat",0.054056927,"Snack Foods",116.8466,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2356.932
"1354","FDC51",10.895,"Regular",0.009636821,"Dairy",121.873,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2463.46
"1355","FDF16",7.3,"Low Fat",0.086266286,"Frozen Foods",147.2076,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1921.4988
"1356","NCV54",11.1,"Low Fat",0.033081389,"Household",116.5124,"OUT013",1987,"High","Tier 3","Supermarket Type1",1066.6116
"1358","FDA23",9.8,"Low Fat",0.047178116,"Baking Goods",99.4016,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2428.8384
"1360","FDZ21",17.6,"Regular",0.039189221,"Snack Foods",97.341,"OUT013",1987,"High","Tier 3","Supermarket Type1",965.41
"1363","FDY22",16.5,"Regular",0.160371305,"Snack Foods",143.9128,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1581.9408
"1365","DRF25",9,"Low Fat",0.038925251,"Soft Drinks",34.919,"OUT046",1997,"Small","Tier 1","Supermarket Type1",476.047
"1366","FDK20",12.6,"Regular",0.041557653,"Fruits and Vegetables",124.5072,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2450.144
"1370","DRD24",13.85,"Low Fat",0.030795085,"Soft Drinks",143.3154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1985.4156
"1372","FDD52",18.25,"Regular",0.184041545,"Dairy",110.157,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1867.569
"1377","FDH35",18.25,"Low Fat",0.060198496,"Starchy Foods",162.9526,"OUT013",1987,"High","Tier 3","Supermarket Type1",1151.1682
"1378","NCB42",11.8,"Low Fat",0.008559557,"Health and Hygiene",117.2492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2432.8332
"1379","FDQ14",9.27,"Low Fat",0.061883353,"Dairy",147.905,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1647.855
"1382","DRN59",15,"Low Fat",0.064241345,"Hard Drinks",45.206,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",792.302
"1383","NCR06",12.5,"Low Fat",0.006759519,"Household",42.8112,"OUT013",1987,"High","Tier 3","Supermarket Type1",639.168
"1384","NCF42",17.35,"Low Fat",0.167243769,"Household",176.2712,"OUT013",1987,"High","Tier 3","Supermarket Type1",2988.1104
"1385","FDG24",7.975,"Low Fat",0.01469075,"Baking Goods",84.725,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1747.725
"1386","FDB58",10.5,"Regular",0.013551445,"Snack Foods",142.0154,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2410.8618
"1388","NCV41",14.35,"Low Fat",0.017038777,"Health and Hygiene",112.5228,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1989.4104
"1392","FDN10",11.5,"Low Fat",0,"Snack Foods",119.5124,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",829.5868
"1393","FDY20",12.5,"Regular",0.082085787,"Fruits and Vegetables",92.2488,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1358.232
"1396","NCX18",14.15,"Low Fat",0.00879232,"Household",195.011,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1964.11
"1399","FDT12",6.215,"Regular",0.049580407,"Baking Goods",227.4062,"OUT013",1987,"High","Tier 3","Supermarket Type1",5191.2426
"1400","FDD57",18.1,"Low Fat",0.022399592,"Fruits and Vegetables",96.0094,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1808.9786
"1403","NCI31",20,"Low Fat",0.0814536,"Others",36.819,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",768.999
"1404","FDZ48",17.75,"Low Fat",0.07607772,"Baking Goods",112.4544,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2348.9424
"1405","FDI16",14,"Regular",0.135775701,"Frozen Foods",54.564,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1597.92
"1406","FDZ31",15.35,"Regular",0,"Fruits and Vegetables",193.0504,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2492.7552
"1409","FDD40",20.25,"Regular",0.014793357,"Dairy",191.5162,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3078.6592
"1411","FDL21",15.85,"Regular",0.007140468,"Snack Foods",40.848,"OUT013",1987,"High","Tier 3","Supermarket Type1",679.116
"1412","FDS21",19.85,"Regular",0.020858779,"Snack Foods",62.8194,"OUT013",1987,"High","Tier 3","Supermarket Type1",928.791
"1414","FDM46",7.365,"Low Fat",0.159937597,"Snack Foods",93.912,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1304.968
"1418","FDV39",11.3,"Low Fat",0.007278512,"Meat",196.7426,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2768.3964
"1421","FDC56",7.72,"Low Fat",0.12152072,"Fruits and Vegetables",118.244,"OUT046",1997,"Small","Tier 1","Supermarket Type1",958.752
"1423","NCJ29",10.6,"Low Fat",0.035163639,"Health and Hygiene",84.4224,"OUT013",1987,"High","Tier 3","Supermarket Type1",852.224
"1425","FDG59",15.85,"Low Fat",0.043226398,"Starchy Foods",37.5164,"OUT035",2004,"Small","Tier 2","Supermarket Type1",270.3148
"1428","NCK05",20.1,"Low Fat",0.077389797,"Health and Hygiene",60.8536,"OUT013",1987,"High","Tier 3","Supermarket Type1",1347.5792
"1434","FDC10",9.8,"Regular",0.072863893,"Snack Foods",118.6098,"OUT035",2004,"Small","Tier 2","Supermarket Type1",843.5686
"1436","FDA10",20.35,"Low Fat",0.141789197,"Snack Foods",121.9072,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1347.5792
"1438","FDJ41",6.85,"Low Fat",0.022864238,"Frozen Foods",260.0594,"OUT013",1987,"High","Tier 3","Supermarket Type1",6018.1662
"1439","FDL46",20.35,"Low Fat",0.054011943,"Snack Foods",116.5466,"OUT013",1987,"High","Tier 3","Supermarket Type1",1885.5456
"1440","FDX33",9.195,"Regular",0.117462619,"Snack Foods",158.9578,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2246.4092
"1441","NCL29",9.695,"Low Fat",0.11411658,"Health and Hygiene",158.8604,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4436.8912
"1443","FDM57",11.65,"Regular",0.075849167,"Snack Foods",85.1908,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2181.1608
"1444","FDZ36",6.035,"Regular",0.065729039,"Baking Goods",188.324,"OUT013",1987,"High","Tier 3","Supermarket Type1",1491.392
"1447","DRK01",7.63,"Low Fat",0.061313057,"Soft Drinks",93.3436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1323.6104
"1449","FDO46",9.6,"Regular",0.014270394,"Snack Foods",187.3872,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2647.2208
"1453","DRI25",19.6,"Low Fat",0.033901442,"Soft Drinks",56.2614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",773.6596
"1457","DRH51",17.6,"Low Fat",0.097198194,"Dairy",89.8856,"OUT035",2004,"Small","Tier 2","Supermarket Type1",351.5424
"1459","FDI50",8.42,"Regular",0.030890618,"Canned",228.7352,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5954.9152
"1460","FDB60",9.3,"Low Fat",0.028498354,"Baking Goods",195.8136,"OUT013",1987,"High","Tier 3","Supermarket Type1",2332.9632
"1461","FDP09",19.75,"Low Fat",0.033883448,"Snack Foods",213.2902,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4247.804
"1462","FDA20",6.78,"Low Fat",0.066565644,"Fruits and Vegetables",185.324,"OUT013",1987,"High","Tier 3","Supermarket Type1",3914.904
"1465","FDJ26",15.3,"Regular",0.084765192,"Canned",215.0218,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1923.4962
"1466","FDZ25",15.7,"Regular",0.027617046,"Canned",168.279,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4074.696
"1467","FDZ58",17.85,"Low Fat",0.052166995,"Snack Foods",121.7072,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2817.6656
"1471","FDH50",15,"Regular",0.161301097,"Canned",185.1266,"OUT013",1987,"High","Tier 3","Supermarket Type1",2213.1192
"1474","FDS19",13.8,"Regular",0.064307102,"Fruits and Vegetables",77.3012,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1593.9252
"1475","NCM06",7.475,"Low Fat",0.076036381,"Household",153.9656,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2625.9152
"1478","FDG59",15.85,"Low Fat",0.043234574,"Starchy Foods",38.3164,"OUT046",1997,"Small","Tier 1","Supermarket Type1",540.6296
"1480","FDO57",20.75,"Low Fat",0.109153001,"Snack Foods",161.3578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4492.8184
"1481","NCJ30",5.82,"Low Fat",0.08062523,"Household",168.379,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1188.453
"1483","FDC05",13.1,"Regular",0.098938169,"Frozen Foods",195.7768,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4138.6128
"1484","FDM08",10.1,"Regular",0,"Fruits and Vegetables",225.1088,"OUT013",1987,"High","Tier 3","Supermarket Type1",3579.3408
"1485","NCA41",16.75,"Low Fat",0.032580547,"Health and Hygiene",192.1162,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3848.324
"1487","FDX56",17.1,"Regular",0,"Fruits and Vegetables",208.5638,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5383.6588
"1488","FDT21",7.42,"Low Fat",0.020391845,"Snack Foods",248.9092,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2241.0828
"1489","FDQ46",7.51,"Low Fat",0.103813029,"Snack Foods",113.7544,"OUT046",1997,"Small","Tier 1","Supermarket Type1",671.1264
"1492","FDX07",19.2,"Regular",0.022914478,"Fruits and Vegetables",181.195,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2380.235
"1493","FDN13",18.6,"Low Fat",0.152058281,"Breakfast",99.9358,"OUT046",1997,"Small","Tier 1","Supermarket Type1",201.0716
"1494","NCP02",7.105,"Low Fat",0.044991294,"Household",59.2562,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",651.8182
"1496","FDZ49",11,"Regular",0.13312044,"Canned",221.5798,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4187.2162
"1499","FDP48",7.52,"Regular",0.044202545,"Baking Goods",182.995,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4394.28
"1500","FDI53",8.895,"Regular",0.137858955,"Frozen Foods",162.1236,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2577.9776
"1501","FDW02",4.805,"Regular",0.037668051,"Dairy",126.7704,"OUT013",1987,"High","Tier 3","Supermarket Type1",2628.5784
"1503","FDV32",7.785,"Low Fat",0.089069748,"Fruits and Vegetables",62.751,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1707.777
"1507","FDB15",10.895,"Low Fat",0.137023446,"Dairy",263.7568,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7646.0472
"1508","FDO48",15,"Regular",0.026950104,"Baking Goods",220.9456,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1768.3648
"1509","NCR53",12.15,"Low Fat",0,"Health and Hygiene",224.4404,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",5626.01
"1510","FDF56",16.7,"Regular",0.119362812,"Fruits and Vegetables",180.3976,"OUT013",1987,"High","Tier 3","Supermarket Type1",3078.6592
"1511","FDL57",15.1,"Regular",0.067350054,"Snack Foods",257.3304,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3874.956
"1512","NCC31",8.02,"Low Fat",0,"Household",157.7972,"OUT013",1987,"High","Tier 3","Supermarket Type1",1713.7692
"1513","FDE33",19.35,"Regular",0.049712775,"Fruits and Vegetables",78.2644,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1492.7236
"1516","DRE12",4.59,"Low Fat",0.070780558,"Soft Drinks",114.586,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1245.046
"1518","NCS41",12.85,"Low Fat",0.053527105,"Health and Hygiene",185.1608,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2388.8904
"1522","FDM13",6.425,"Low Fat",0.063122753,"Breakfast",131.3626,"OUT013",1987,"High","Tier 3","Supermarket Type1",262.3252
"1523","FDQ56",6.59,"Low Fat",0.105597316,"Fruits and Vegetables",83.4908,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1342.2528
"1529","FDL40",17.7,"Low Fat",0.011660463,"Frozen Foods",96.541,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2220.443
"1530","FDD47",7.6,"Regular",0.142410775,"Starchy Foods",171.9448,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3749.7856
"1531","DRE03",19.6,"Low Fat",0.024226902,"Dairy",48.7718,"OUT046",1997,"Small","Tier 1","Supermarket Type1",236.359
"1535","FDE20",11.35,"Regular",0.005530516,"Fruits and Vegetables",171.179,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4923.591
"1537","NCT06",17.1,"Low Fat",0.038705317,"Household",165.0842,"OUT013",1987,"High","Tier 3","Supermarket Type1",2320.9788
"1538","FDY24",4.88,"Regular",0,"Baking Goods",53.1298,"OUT035",2004,"Small","Tier 2","Supermarket Type1",808.947
"1540","FDJ55",12.8,"Regular",0.023626808,"Meat",223.2404,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2475.4444
"1542","FDD44",8.05,"Regular",0.078719835,"Fruits and Vegetables",258.5646,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3091.9752
"1543","FDD10",20.6,"Regular",0.046208155,"Snack Foods",178.0344,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1605.9096
"1544","FDA39",6.32,"Low Fat",0.012769753,"Meat",39.9822,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",78.5644
"1545","FDB36",5.465,"Regular",0.048486801,"Baking Goods",131.2626,"OUT013",1987,"High","Tier 3","Supermarket Type1",3410.2276
"1547","FDJ36",14.5,"Regular",0.128459481,"Baking Goods",102.0332,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2050.664
"1548","NCB55",15.7,"Low Fat",0.161317495,"Household",57.5562,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",829.5868
"1550","FDX27",20.7,"Regular",0.114294512,"Dairy",94.9436,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1229.0668
"1551","FDB08",6.055,"Low Fat",0.031103357,"Fruits and Vegetables",159.9578,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2727.7826
"1552","FDX43",5.655,"Low Fat",0.085274988,"Fruits and Vegetables",165.05,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2330.3
"1553","FDA20",6.78,"Low Fat",0.066892471,"Fruits and Vegetables",186.424,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1304.968
"1559","FDB08",6.055,"Low Fat",0.031230059,"Fruits and Vegetables",160.3578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1765.0358
"1562","DRK49",14.15,"Low Fat",0.035943717,"Soft Drinks",40.5138,"OUT046",1997,"Small","Tier 1","Supermarket Type1",446.7518
"1563","FDR37",16.5,"Regular",0.06619442,"Breakfast",184.4292,"OUT013",1987,"High","Tier 3","Supermarket Type1",3101.2964
"1564","FDG56",13.3,"Regular",0.071439051,"Fruits and Vegetables",61.0536,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1898.8616
"1565","FDE34",9.195,"Low Fat",0.108059141,"Snack Foods",181.7634,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6179.9556
"1567","FDT58",9,"Low Fat",0.085938463,"Snack Foods",168.6816,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1342.2528
"1568","FDR03",15.7,"Regular",0.008734284,"Meat",207.898,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3095.97
"1569","NCL30",18.1,"Low Fat",0.049016517,"Household",128.7336,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2173.1712
"1571","FDP45",15.7,"Regular",0.030672457,"Snack Foods",253.1724,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5285.1204
"1572","FDS15",9.195,"Regular",0.077995641,"Meat",107.1596,"OUT013",1987,"High","Tier 3","Supermarket Type1",2804.3496
"1575","NCV30",20.2,"Low Fat",0.066200667,"Household",61.451,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",126.502
"1577","FDO10",13.65,"Regular",0.0127517,"Snack Foods",55.5588,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1603.2464
"1578","FDQ03",15,"Regular",0.077949334,"Meat",238.7248,"OUT013",1987,"High","Tier 3","Supermarket Type1",2133.2232
"1579","NCC55",10.695,"Low Fat",0.064022881,"Household",36.0848,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",372.848
"1581","FDI16",14,"Regular",0.136328794,"Frozen Foods",54.864,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",319.584
"1582","FDB44",6.655,"Low Fat",0.016958832,"Fruits and Vegetables",210.0586,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4221.172
"1583","FDA25",16.5,"Regular",0.068125756,"Canned",101.199,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1031.99
"1584","FDV33",9.6,"Regular",0.02734361,"Snack Foods",257.8304,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1808.3128
"1585","FDX47",6.55,"Regular",0.034658144,"Breads",155.8288,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1099.9016
"1587","FDV57",15.25,"Regular",0.065841719,"Snack Foods",179.866,"OUT013",1987,"High","Tier 3","Supermarket Type1",2696.49
"1588","FDB02",9.695,"Regular",0.029158763,"Canned",174.537,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1235.059
"1590","FDX02",16,"Low Fat",0.05706009,"Dairy",225.0404,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4950.8888
"1593","NCL18",18.85,"Low Fat",0.167844438,"Household",193.9136,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3110.6176
"1596","NCU05",11.8,"Low Fat",0.058827557,"Health and Hygiene",80.8618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1288.9888
"1597","FDI56",7.325,"Low Fat",0.093765794,"Fruits and Vegetables",90.3146,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1733.0774
"1598","DRL11",10.5,"Low Fat",0.048092816,"Hard Drinks",159.2946,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1893.5352
"1602","FDO09",13.5,"Regular",0.125469442,"Snack Foods",264.491,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6574.775
"1603","DRJ49",6.865,"Low Fat",0.01405025,"Soft Drinks",128.9652,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1679.1476
"1604","FDP26",7.785,"Low Fat",0.139436695,"Dairy",103.0306,"OUT013",1987,"High","Tier 3","Supermarket Type1",2404.2038
"1605","FDO19",17.7,"Regular",0.016593506,"Fruits and Vegetables",46.9034,"OUT035",2004,"Small","Tier 2","Supermarket Type1",972.068
"1607","FDG02",7.855,"Low Fat",0.011261165,"Canned",189.5188,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1904.188
"1608","FDO32",6.36,"Low Fat",0.120520818,"Fruits and Vegetables",45.906,"OUT035",2004,"Small","Tier 2","Supermarket Type1",419.454
"1609","FDR34",17,"Regular",0.015965308,"Snack Foods",229.4352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4809.7392
"1610","FDU59",5.78,"Low Fat",0.096386227,"Breads",163.5552,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1787.0072
"1613","FDE08",18.2,"Low Fat",0.049520593,"Fruits and Vegetables",147.3734,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2375.5744
"1614","FDK52",18.25,"Low Fat",0.079152918,"Frozen Foods",223.8062,"OUT013",1987,"High","Tier 3","Supermarket Type1",4288.4178
"1615","FDW11",12.6,"Low Fat",0.048741487,"Breads",60.4194,"OUT013",1987,"High","Tier 3","Supermarket Type1",990.7104
"1616","FDC03",8.575,"Regular",0.071958197,"Dairy",195.3794,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3511.4292
"1617","FDR43",18.2,"Low Fat",0.162147349,"Fruits and Vegetables",37.719,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",549.285
"1621","DRH15",8.775,"Low Fat",0.109911272,"Dairy",41.9428,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1537.998
"1622","FDT11",5.94,"Regular",0.029366813,"Breads",187.7556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112
"1623","FDU48",18.85,"Low Fat",0.055347985,"Baking Goods",131.5284,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1581.9408
"1624","FDY12",9.8,"Regular",0,"Baking Goods",49.2008,"OUT013",1987,"High","Tier 3","Supermarket Type1",657.8104
"1626","NCP06",20.7,"Low Fat",0.039405676,"Household",149.8366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2267.049
"1627","DRH23",14.65,"Low Fat",0.170176516,"Hard Drinks",55.2614,"OUT013",1987,"High","Tier 3","Supermarket Type1",718.3982
"1629","FDT45",15.85,"Low Fat",0.057546914,"Snack Foods",55.8956,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",491.3604
"1632","FDA39",6.32,"Low Fat",0.012717946,"Meat",40.2822,"OUT046",1997,"Small","Tier 1","Supermarket Type1",628.5152
"1633","NCB19",6.525,"Low Fat",0.090278634,"Household",86.7882,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1975.4286
"1634","FDZ34",6.695,"Low Fat",0,"Starchy Foods",191.882,"OUT013",1987,"High","Tier 3","Supermarket Type1",3861.64
"1636","FDO40",17.1,"Low Fat",0.032678839,"Frozen Foods",150.7392,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3131.9232
"1637","FDD21",10.3,"Regular",0,"Fruits and Vegetables",115.0176,"OUT013",1987,"High","Tier 3","Supermarket Type1",4122.6336
"1638","FDO36",19.7,"Low Fat",0.077849003,"Baking Goods",179.166,"OUT013",1987,"High","Tier 3","Supermarket Type1",3056.022
"1639","FDV34",10.695,"Regular",0.011443222,"Snack Foods",73.5038,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1478.076
"1641","NCM54",17.7,"Low Fat",0.051146565,"Household",127.3678,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3306.3628
"1642","FDB59",18.25,"Low Fat",0.015302653,"Snack Foods",198.0084,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",793.6336
"1644","FDV24",5.635,"Low Fat",0,"Baking Goods",148.705,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1198.44
"1646","FDQ39",14.8,"Low Fat",0.081372267,"Meat",191.4846,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3057.3536
"1647","FDD52",18.25,"Regular",0.18329488,"Dairy",111.657,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1537.998
"1648","FDL39",16.1,"Regular",0.06358934,"Dairy",179.4318,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",360.8636
